representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Angola;AO;Embajada de ANGOLA;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey Loreto 2477 - Ciudad Autónoma de Buenos Aires;sectel.argentina@gmail.com;;;11;4896-0470//4789-9714;4783-4512;;;;;;
Arabia Saudita;SA;Embajada de ARABIA SAUDITA;              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Alejandro María de Aguado 2881;embasaudita@fibertel.com.ar;http://www.embajadasaudi.org/;;11;4802-0760//4802-4303//4802-3375;4806-1581;;;;;;
Arabia Saudita;SA;Sección Consular de ARABIA SAUDITA en Ciudad Autónoma de Buenos Aires;   Todo el territorio de la República Argentina   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Alejandro M. de Aguado 2881;;;;11;4802-3375//4802-4303//4802-0760;4806-1581;;;;;;
Argelia;DZ;Embajada de ARGELIA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Montevideo 1889;embajadaargelia@fibertel.com.ar;www.embajadaargelia.int.ar;;11;4815-1271//4815-5969;4815-8837;;;;;;
Argelia;DZ;Sección Consular de ARGELIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Montevideo 1889;argelia@interserver.com.ar;;;11;4815-1271//4815-5969;4815-8837;;;;;;
Armenia;AM;Embajada de ARMENIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;José Andrés Pacheco de Melo 1922;armargentineembassy@mfa.am;www.armeniaforeignministry.com;;11;4816-8710;4812-2803;;;;;;
Armenia;AM;Sección Consular de ARMENIA en Ciudad Autónoma de Buenos Aires;;Ciudad Autónoma de Buenos Aires;Buenos Aires;;;;;11;;;;;;;;
Australia;AU;Embajada de AUSTRALIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Villanueva 1400 ;info.ba.general@dfat.gov.au  //immigration-buenos-aires@dfat.gov.au   ;http://www.argentina.embassy.gov.au//www.immi.gov.au;;11;4779-3500 //6632-2059;4779-3581//4779-3585 ;;;;;;
Australia;AU;Sección Consular de AUSTRALIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Villanueva 1400;infobaconsular@dfat.gov.au//dima-buenos_aires@dfat.gov.au;http://www.imni.gov.au/;;11;4779-3550;4779-3585;;;;;;
Austria;AT;Consulado Honorario  de AUSTRIA en Córdoba;Provincia de Córdoba;Córdoba;Córdoba;Jerónimo Cortez 636;;;;351;472-0450//472-0455;424-3626;;;;;;
Austria;AT;Consulado Honorario  de AUSTRIA en Mendoza;  Provincia de Mendoza  ;Mendoza;Mendoza;Av. España 948 Piso 2º Depto. 6, Mendoza;;;;261;423-5960;;;;;;;
Austria;AT;Consulado Honorario  de AUSTRIA en Posadas;  Provincias de Misiones y Corrientes  ;Posadas;Misiones;Av.Corrientes 2434 ;;;;3752;443-7715//442-6726;;;;;;;
Austria;AT;Consulado Honorario  de AUSTRIA en San Carlos de Bariloche;       Provincias de Río Negro, Neuquén y Chubut       ;San Carlos de Bariloche;Rio Negro;"Arroyo del Medio s/n Campo ""La Matera"" - San Carlos de Bariloche";;;;2944;Desde el exterior 4952 232 , desde Argentina 15 4952232//423776 int. 160-132;;;;;;;
Austria;AT;Embajada de AUSTRIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;French 3671//Cerrito 1294 Piso 15;buenos-aires-ob@bmeia.gv.at//buenosaires@advantageaustria.org/ar;http://bmeia.gv.at/es/embajada/buenos-aires.html//www.advantageaustria.org/ar;;11;4809-5800//4816-0479;4805-4016 //4814-3670;;;;;;
Austria;AT;Sección Consular de AUSTRIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;French 3671;buenos-aires-ob@bmeia.gv.at//embajada@austria.org.ar;;;11; 4809-5800;4805-4016;;;;;;
Azerbaiyán;AZ;Embajada de AZERBAIYÁN;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Maure 2151;buenosaires@mission.mfa.gov.az//buenosaires@azembassy.org.ar; http://buenosaires.mfa.gov.az/es;;11;4777-3655;4777-6722//4777-4160//4777-5091;4777-8928;;;;;
Bahamas;BS;Consulado Honorario  de BAHAMAS en Ciudad Autónoma de Buenos Aires;;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos pellegrini 1363 2º Piso ;pyfrom@argenmar.com;;;11;6314-0000//5064-6676;;;;;;;
Barbados;BB;Consulado Honorario  de BARBADOS en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 980 2° piso;info@itzcovichgriot.com;;;11;4328-6666;;;;;;;
Belarús;BY;Embajada de BELARÚS;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cazadores 2166;argentina@mfa.gov.by;www.argentina.mfa.gov.by;;11;4788-9394//4788-2322 ;;;;;;;
Bélgica;BE;Consulado General de BÉLGICA en Ciudad Autónoma de Buenos Aires;"   Todo el territorio de la República Argentina. Administra sobre los Consulados Honorarios en Córdoba, Mar del Plata y Resistencia; y sobre el Vice Consulado Honorario en Bahía Blanca.   ";Ciudad Autónoma de Buenos Aires;Buenos Aires;Defensa 113 - Piso 8º;buenosaires@diplobel.org;http://www.diplomatie.be/buenosaires;;11;4331-0066//4331-0069;4331-0814;;;;;;
Bélgica;BE;Consulado Honorario de BÉLGICA en Mar del Plata;    Ayacucho, Balcarce, Gral. Madariaga, Mar del Plata, Mar Chiquita y en toda la Pcia. de Buenos Aires    ;Mar del Plata;Buenos Aires;Ruta 88 Km 23;consulbelmdq@gmail.com;;;223;464-2000;;;;;;;
Bélgica;BE;Consulado Honorario de BÉLGICA en Resistencia;  Provincias del Chaco, Corrientes, Formosa y Misiones  ;Resistencia;Chaco;Av. Laprida 2690;bernardducarme@hotmail.com;;;362;;665-275;424-213;;;;;
Bélgica;BE;Embajada de BÉLGICA;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olga Cossettini 831 Piso3º;buenosaires@diplobel.fed.be;www.diplomatie.be/buenosaires;;11;4313-7272//11-4414-4589;15-4414-4589;;;;;;
Bélgica;BE;Sección Consular de BÉLGICA en Córdoba;   Provincias de Córdoba, Catamarca y La Rioja   ;Córdoba;Córdoba;F. Posse 2533, Alto Palermo Norte;consulbelcba@gmail.com;;;351;481-3298;;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Córdoba;   Provincia de Córdoba.   ;Córdoba;Córdoba;Figueroa Casares 368;coliviancordoba@gmail.com;;;351;431-5835//411 4489//411 4080;411-2594;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Mendoza; Provincia de Mendoza ;Mendoza;Mendoza;Calle Garibaldi 380 Planta Alta;colivian-mendoza@rree.gov.bo;;;261;4292458;4230413;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Quiaca; Local ;La Quiaca;Jujuy;C. Rep. Árabe Siria 531;colivianlaquiaca@laquiaca.com.ar;;;3885;422-283;422-283;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Rosario; Provincia de Santa Fe ;Rosario;Santa Fe;Calle Ovido Lagos Nº 711;colivian_rosario@citynet.net.ar;;;341;435-2040;435-2040;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Salta; Provincias de Salta y Tucumán ;Salta;Salta;Mariano Boedo 34;conlivian-salta@rree.gov.bo;;;387;421-1040//420 566;421-1040;;;;;;
Bolivia;BO;Consulado de BOLIVIA en San Ramón de la Nueva Oran; Local ;San Ramón de la Nueva Orán;Salta;Av. San Martín 134;colivian-oran@rree.gov.bo;;;3878;421-969;421-969;;;;;;
Bolivia;BO;Consulado de BOLIVIA en San Salvador de Jujuy; Provincia de Jujuy ;San Salvador de Jujuy;Jujuy;Independencia 1098;colivian-jujuy@rree.gov.bo;;;388;424-0501;42 331 56//42 40 564;;;;;;
Bolivia;BO;Consulado de BOLIVIA en Viedma; Provincias de Río Negro, Neuquén, Chubut, Santa Cruz, Tierra del Fuego e Islas del Atlántico Sur y los Partidos de Patagones, Villarinos, Bahía Blanca, Coronel Rosales, Coronel Dorrego, Monte Hermoso, Tres Arroyos, San Cayetano y Necochea de la Provincia de Buenos Aires. ;Viedma;Rio Negro;Colón 450 - P.B;jc_espinoq@yahoo.com//colivian-tucuman@rree.gov.bo;;;2920;;;;;;;;
Bolivia;BO;Consulado General de BOLIVIA en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bartolomé Mitre 2815 Piso 1°;consuladodebolivia@ciudad.com.ar;www.consuladoboliviano.com.ar;;11;;;4861-0401//4861-0041//4861-1597//4861-3287//4861-8619//4861-9203;;;;;
Bolivia;BO;Embajada de BOLIVIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Corrientes 545 Piso 2º 6//Florida 559 Piso 3 Of. 514;embolivia-baires@ree.gov.bo;www.embajadadebolivia.com.ar;;11;4394-1463;;;;;;;
Bolivia;BO;Sección Consular de BOLIVIA en Salvador Mazza;  ;Salvador Mazza;Salta;;;;;3875;;;;;;;;
Brasil;BR;Consulado de BRASIL en Paso de los Libres;  Provincia de Corrientes  ;Paso de los Libres;Corrientes;Bartolomé Mitre 594;vclibres@arnet.com.ar;;;3772;42-5441//(5493772) 406627;;42-5444//42-5442//42-5443;;;;;
Brasil;BR;Consulado de BRASIL en Puerto Iguazú;  Provincia de Misiones  ;Puerto Iguazú;Misiones;Av. Córdoba 264;conbrasil@iguazunet.com;;;3757;;;421-348// 422-494;;;;;
Brasil;BR;Consulado General de BRASIL;Provincias de Córdoba, Jujuy, Salta, Catamarca, La Rioja, Tucumán, Santiago del Estero;Córdoba;Córdoba;Ambrosio Olmos 615;corbrcg@conbrasilcordoba.org.ar;;;351;468-5919//468-5812//468-5539;468-5812;;;;;;
Brasil;BR;Consulado General de BRASIL en Ciudad Autónoma en Buenos Aires; Provincias de Buenos Aires, Chaco, Chubut, Corrientes, Entre Ríos, Formosa, La Pampa, Misiones, Neuquén, Río Negro, Santa Cruz, Santa Fe, Tierra del Fuego, Antártida e Islas del Atlántico Sur. ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1363 - Piso 5º P;diversos@conbrasil.org.ar;http://www.conbrasil.org.ar/;;11;4515-6500//4515-6531/6511//(15) 4199-9668;4508-6520;;;;;;
Brasil;BR;Consulado General de BRASIL en Mendoza;  Provincias de Mendoza, San Juan y San Luis  ;Mendoza;Mendoza;Rivadavia N° 628;cg.mendoza@itamaraty.gov.br;;;261;423-0939;;;;;;;
Brasil;BR;Consulado Honorario  de BRASIL en Bahía Blanca; Partido de Bahía Blanca ;Bahía Blanca;Buenos Aires;Zapiola 185;jorgepella@speedy.com.ar;;;291;452-0505;;454-0599;;;;;
Brasil;BR;Consulado Honorario  de BRASIL en Resistencia;  Ciudad de Resistencia  ;Resistencia;Chaco;Pueyrredón 820;jmchaco@arnet.com.ar;;;362;44-1119;;;;;;;
Brasil;BR;Consulado Honorario  de BRASIL en Rosario;  Partidos de Funes, Roldán, San Jerónimo Sur, Carcarañá, Correa, Cañada de Gómez, Villa Gobernador Gálvez, Pueblo Esther, General Alvear, General Lagos, Arroyo Seco, Figueira, Pavón, Villa Constitución, Pérez, Zavalla, Pujato, Casilda, Granadero Baigorria, Capitán Bermudez, San Lorenzo y Puerto General San Martín.  ;Rosario;Santa Fe;España 848;rosario@consulhbrasil.org.ar;;;341;425-0960;;;;;;;
Brasil;BR;Consulado Honorario  de BRASIL en Salta; Ciudad de Salta ;Salta;Salta;Ibarguren 60 - San Lorenzo;jorge.gauna@petrobas.com;;;387;03833- 154407892;;492-1690;;;;;
Brasil;BR;Consulado Honorario  de BRASIL en Santo Tomé;  Ciudad de Santo Tomé  ;Santo Tomé;Corrientes;Av. Brasil 995;alejandrobelsky@hotmail.com;;;3756;;;421-277//420-264;;;;;
Brasil;BR;Embajada de BRASIL;                                    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cerrito 1350 Ciudad Autónoma de Buenos Aires;brasemb.buenosaires@itamaraty.gov.br//gabinete.buenosaires@itamaraty.gov.br//cerim.buenosaires@itamaraty.gov.br//prensa.buenosaires@itamaraty.gov.br//cultural.buenosaires@itamaraty.gov.br//secom.buenosaires@itamaraty.gov.br//politico.buenosaires@itamaraty.gov.br//turismo.buenosaires@itamaraty.gov.br//educacao.buenosaires@itamaraty.gov.br//ccba.buenosaires@itamaraty.gov.br//econo.buenosaires@itamaraty.gov.br//citec.buenosaires@itamaraty.gov.br//captec.buenosaires@itamaraty.gov.br;www.buenosaires.itamaraty.gov.br;;11;5246-7400//4813-0083//4811-9652;4814-1465//5246-7413/17//5246-7451/7524//5246-7472/7455;;;;;;
Bulgaria;BG;Embajada de BULGARIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal A. J. de Sucre 1568;bg.buenosaires@mfa.bg//embassy.buenosaires@mfa.bg;www.mfa.bg;;11;4781-8644//4786-6273;4781-1214;;;;;;
Bulgaria;BG;Sección Consular de BULGARIA en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Sucre 1568;bg.buenosaires@mfa.bg//embassy.buenosaires@mfa.bg;www.mfa.bg;;11;4781-8644//4786-6273;4781-1214;;;;;;
Cabo Verde;CV;Consulado Honorario  de CABO VERDE en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina con excepción de las Provincias de Córdoba y Santa Fe ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bernardo de Irigoyen 146 - Piso 1° Of. C;;;;11;4334-0524;4334-0524//15-6193-7361;;;;;;
Cabo Verde;CV;Consulado Honorario  de CABO VERDE en Córdoba; Provincia de Córdoba ;Córdoba;Córdoba;;;;;351;;;;;;;;
Cabo Verde;CV;Consulado Honorario  de CABO VERDE en Rosario; Provincia de Santa Fe ;Rosario;Santa Fe;;;;;341;;;;;;;;
Camerún;CM;Consulado General Honorario de CAMERÚN en Martínez; Todo el territorio de la República ;Martínez;Buenos Aires;;;;;11;;;;;;;;
Canadá;CA;Embajada de CANADÁ;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tagle 2828;bairs-webmail@international.gc.ca//bairs-inmigra@international.gc.ca;http://www.buenosaires.gc.ca;;11;4808-1000;4808-1111;;;;;;
Canadá;CA;Sección Consular de CANADÁ en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tagle 2828;;;;11;4805-3032;4806-1209;;;;;;
Checa;CZ;Consulado Honorario  de CHECA en Mendoza;Provincia de Mendoza;Mendoza;Mendoza;Av. España 1340 - Piso 09 Of. 20;conschecomza@hotmail.com;;;261;423-2148;438-1592;;;;;;
Checa;CZ;Consulado Honorario  de CHECA en Presidente Roque Sáenz Peña;  Provincias del Chaco y Formosa  ;Presidente Roque Sáenz Peña;Chaco;Yugoeslavia 655;fliajurasek@hotmail.com;;;3732;42-5977;42-1568;;;;;;
Checa;CZ;Embajada de CHECA ;                ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Junín 1461 ;buenosaires@embassy.mzv.cz;www.mfa.cz/buenosaires;de 9.00hs a 17.00hs;11;4807-3107;4800-1088;;;;;;
Checa;CZ;Sección Consular de CHECA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Junín 1461;buenosaires@embassy.mzv.cz;http://www.mzv.cz/buenosaires/;;11;4807-3107;4800-1088;;;;;;
Chile;CL;Consulado de CHILE en Comodoro Rivadavia; Provincia de Chubut, desde el paralelo 44º sur hasta el limite sur por la Provincia de Santa Cruz y las ciudades de Perito Moreno, Los Antiguos, Las Heras, Pico Truncado y Caleta Olivia , ubicadas en el norte de la Provincia de Santa Cruz ;Comodoro Rivadavia;Chubut;Rivadavia 671;;;;297; 446-2414//447 1043; 446-2414;;;;;;
Chile;CL;Consulado de CHILE en Mar del Plata;" Partidos de la Provincia de Buenos Aires: González Chaves, Ayacucho, Azul, Balcarce; Castelli, Dolores; Gral. Alvarado, Gral. Guido; Gral. Lavalle; Gral. Madariaga, Gral. Pueyrredón, Benito Juárez, Las Flores, Lobería, Maipú, Mar Chiquita, Necochea, Pila, ";Mar del Plata;Buenos Aires;Santa Fe 3650;conchilemdp@sinectis.com.ar;;;223;493-7100//491-0732;491-0732;;;;;;
Chile;CL;Consulado de CHILE en Rio Grande;  Provincia de Tierra del Fuego, desde el Cabo del Espíritu Santo hasta el paralelo 54º sur  ;Rio Grande;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Av. Belgrano 369;conchileriogrande@speedy.com.ar;;;2964;430-523;430-826;;;;;;
Chile;CL;Consulado de CHILE en Rosario;  Provincias de Santa Fe, Misiones, Corrientes y Entre Ríos, y la ciudad de San Nicolás en la Provincia de Buenos Aires  ;Rosario;Santa Fe;La Rioja 1037 2do Of 2;cnrosaar@conchile-rosario.com.ar;;;341;4494-4032;;;;;;;
Chile;CL;Consulado de CHILE en Ushuaia; Provincia de Tierra del Fuego no comprendida en la circunscripción del Consulado en Río Grande ;Ushuaia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Jainen 50;conchileusuaia@speedy.com.ar;;;2901;430-909//430-910;430-661;;;;;;
Chile;CL;Consulado General de CHILE en Bahía Blanca;"Los partidos de la Provincia de Buenos Aires: Bahía Blanca; Patagones; Villarino; Puán, Tornquist, Coronel Rosales; Coronel Dorrego; Tres Arroyos, Coronel Pringles, Laprida; General Lamadrid; Coronel Suárez; Caseros, Guamini; Saliquello; Adolfo Alsina; Sa";Bahía Blanca;Buenos Aires;Belgrano 503;consulado@cnbahiabca.com;;;291;453-1516//455 0220//451 6369;;;;;;;
Chile;CL;Consulado General de CHILE en Ciudad Autónoma de Buenos Aires;Capital Federal y la Provincias de Buenos Aires, con excepción de las circunscripciones de los Consulados Particulares en Bahía Blanca y Mar del Plata y la ciudad de San Nicolás, que corresponde a la circunscripción del Consulado Honorario en Rosario, Prov. de Sta. Fé;Ciudad Autónoma de Buenos Aires;Buenos Aires;Roque Saen Peña 547 - P. 2º;icg.baires@minrel.gov.cl;http://www.consuladodechile.org.ar/;;11;4331-6228//4331-6229//4331-6230/31/32/33;4331-6235/4328/0434;;;;;;
Chile;CL;Consulado General de CHILE en Córdoba;Provincias de Córdoba, Santiago del Estero, Chaco y Formosa;Córdoba;Córdoba;Crisol 280//congecor1@arnet.com.ar//congecor3@arnet.com.ar;;;;351;469-2010//469 6543;469-1944;;;;;;
Chile;CL;Consulado General de CHILE en Mendoza;Provincias de Mendoza, San Juan y San Luis;Mendoza;Mendoza;Belgrano 1080;cgchilmen@itcsa.net;www.congechilemendoza.com.ar;;261;425-4844//425-5024;429-7297;;;;;;
Chile;CL;Consulado General de CHILE en Neuquén;Provincia de Neuquén, con excepción de los Departamentos Los Lagos, Lacar y Huiliches, que corresponden a la circunscripción del Consulado General en San Carlos de Bariloche. Además, los Departamentos General Roca y Avellaneda de la Provincia de Río Negro;Neuquén;Neuquen;Rioja 241;;;;299;442-2727;448-5689;;;;;;
Chile;CL;Consulado General de CHILE en Río Gallegos;"Provincia de Santa Cruz, con excepción de las ciudades de Perito Moreno, Los Antiguos, Las Heras, Pico Truncado y Caleta Olivia, que corresponden a la circunscripción del Consulado en Comodoro Rivadavia; y la Provincia de Tierra del Fuego";Río Gallegos;Santa Cruz;Mariano Moreno 148;crrgalar@speedy.com.ar;;;2966;422-364;431-1857;;;;;;
Chile;CL;Consulado General de CHILE en Salta;Provincias de Salta, Jujuy, Tucumán, Catamarca y La Rioja;Salta;Salta;Santiago del Estero 965;cg_salta@arnet.com.ar;www.adevance.com.ar/usuarios/cgsalta;;387;421-5757;431-1857;;;;;;
Chile;CL;Consulado General de CHILE en San Carlos de Bariloche;Provincia de Río Negro, con excepción de los Departamentos de Pichi Mahuida, Gral. Conesa y Adolfo Alsina, que corresponden a la circunscripción del Consulado en Bahía Blanca y de los Departamentos de Gral. Roca y Avellaneda, que corresponden a la circunscripción;San Carlos de Bariloche;Rio Negro;Juan Manuel de Rosas 180;cgbariar@arnet.com.ar;;;2944;423-050//431-680;423-050;;;;;;
Chile;CL;Consulado Honorario  de CHILE en Catamarca; Provincia de Catamarca ;Catamarca;Catamarca;;;;;3833;;;;;;;;
Chile;CL;Consulado Honorario  de CHILE en Esquel; Los Departamentos de Futaleufú, Cushamen, Languiñeo y Gastre, con excepción de la Región de Los Lagos Puelo y Epuyén, que corresponde a la circunscripción del Consulado General en San Carlos de Bariloche ;Esquel;Chubut;;chesquear@ciudad.com.ar;;;2945;;;;;;;;
Chile;CL;Consulado Honorario  de CHILE en San Salvador de Jujuy; Provincia de Jujuy;San Salvador de Jujuy;Jujuy;Pacara 50, Barrio Los Perales;diuanasar@hotmail.com;;;388;461-095;461-095;;;;;;
Chile;CL;Embajada de CHILE;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tagle 2762//San Martin 439 P 9;echile.argentina@minrel.gov.cl;;;11;4808-8600//4326-4144/4145;4326-4136;4804-5927;;;;;
China;CN;Embajada de CHINA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Crisólogo Larralde 5349;protocoloembchina@live.cn;http://ar.china-embassy.org/esp/;;11;4547-8100 //4547-8109 //4547-8128 / 8129 //4547-8110//4547-8125;4545-1141;;;;;;
China;CN;Sección Consular de CHINA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Crisólogo Larralde 5349;;;;11;;;;;;;;
Chipre;CY;Consulado Honorario  de CHIPRE en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Rafael Hernandez 2766;;;;11;4511-7927;4511-7926;;;;;;
Colombia;CO;Consulado General de COLOMBIA en Ciudad Autónoma de Buenos Aires;    Todo el territorio de la República Argentina    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1135 PB;cbuenosaires@cancilleria.gov.co;www.buenosaires.consulado.gov.co;;11;32201367//32201368;;;;;;;
Colombia;CO;Embajada de COLOMBIA;                        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1363-Piso 3º// Maipú 1210, 8° piso ;eargentina@cancilleria.gov.co;www.argentina.embajada.gov.co;;11;4325-1106//4322-1610//4325-0258//4326-0494//4872-8180;;;;;;;
Congo;CD;Embajada de CONGO;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cabildo 434 1° Piso;rdcbuenos@hotmail.com;;;11;4776-2933;;;;;;;
Corea del Sur;KR;Embajada de COREA DEL SUR;                            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. de Libertador 2395//Oficina Comercial (KOTRA) Olga Cosentini 831 2º UF 8//Ctro. Cultural Coreano  Avda. Coronel Diaz 2884;argentina@mofa.go.kr//cccoreanoarg@gmail.com//kotra@kotra.org.ar;;;11;4802-8062//4802-8865//4803-3167//4393-3110//4312-0033;4802-7045;;;;;;
Corea del Sur;KR;Sección Consular de COREA DEL SUR en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;San Martín de Tours 2857;http://arg.mofa.go.kr;;;11;4806-6796;4801-1443;;;;;;
Costa Rica;CR;Embajada de COSTA RICA;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av Córdoba 612 1º A;embcr-ar@rree.go.cr;;;11;2150-7180;;;;;;;
Costa Rica;CR;Sección Consular de COSTA RICA en Ciudad Autónoma de Buenos Aires;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av Córdoba 612 1e A;concr-ar@rree.go.cr;;;11;;2150-7181;;;;;;
Croacia;HR;Consulado Honorario  de CROACIA en Córdoba;  PROVINCIAS DE CORDOBA, LA RIOJA, SAN JUAN, SAN LUIS, MENDOZA Y LA PAMPA.  ;Córdoba;Córdoba;Ricardo Rojas N°6759, piso 3 of 17 -ARGUELLO-;consulcroacba@arnet.com.ar;;;351;4323619//3401215;;;;;;;
Croacia;HR;Consulado Honorario  de CROACIA en San Miguel de Tucumán;PROVINCIAS DE TUCUMAN, SALTA, JUJUY, FORMOSA, CHACO, CATAMARCA Y SANTIAGO DEL ESTERO.;San Miguel de Tucumán;Tucuman;MATE DE LUNA 3050;clonac@uspt.edu.ar;;;381;0381-423-8333;;;;;;;
